title,description,publishedAt,source,url,lat,lon
"Nepal at crossroads, bid to establish people's rule may get dashed before it truly began: Analysts","Nepal faces political instability after the government's collapse. Protests and violence erupted, leading to army intervention. Analysts suggest potential solutions beyond the existing constitution. Options include an interim government or a complete constitu…",2025-09-11T03:27:35Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/nepal-at-crossroads-bid-to-establish-peoples-rule-may-get-dashed-before-it-truly-began-analysts/articleshow/123820990.cms,,
Shooting attack on Jerusalem bus kills 4,A tragic shooting incident occurred in Jerusalem. Attackers opened fire on a bus at a busy intersection. Initial reports confirm at least four fatalities. Fifteen individuals sustained injuries in the attack. Security forces neutralized two attackers soon aft…,2025-09-08T08:07:04Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/shooting-attack-on-jerusalem-bus-kills-4/articleshow/123761160.cms,,
"Escaped murderous assault from Tihar inmates, alleges LS MP Engineer Rashid","Engineer Rashid, a jailed Lok Sabha member, claims he survived an attack in Tihar jail. He alleges a plot against Kashmiri inmates. Rashid's party demands an investigation. He reports that inmates with HIV are placed in their barracks to instigate attacks. Ot…",2025-09-05T19:01:19Z,The Times of India,https://economictimes.indiatimes.com/news/politics-and-nation/escaped-murderous-assault-from-tihar-inmates-alleges-ls-mp-engineer-rashid/articleshow/123725264.cms,,
9/11: Why did Osama bin Laden attack the United States?,"The 9/11 attacks, a culmination of escalating tensions between Osama bin Laden and the U.S., were rooted in grievances over American presence in Saudi Arabia, sanctions on Iraq, and support for Israel. Bin Laden's ideology framed the killing of Americans as a…",2025-09-11T06:09:06Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/9/11-why-did-osama-bin-laden-attack-the-united-states/articleshow/123823519.cms,,
‘Will pay for it’: WWE legend Jeff Jarrett blasts Raja Jackson for brutal attack on wrestler during event in Los Angeles,"Raja Jackson assaulted a wrestler at a Los Angeles event. WWE Hall of Famer Jeff Jarrett condemned the act. He said Jackson will 'pay for it.' The LAPD is investigating the incident. Rampage Jackson, Raja's father, reported receiving threats. Raja is banned f…",2025-09-01T19:34:32Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/will-pay-for-it-wwe-legend-jeff-jarrett-blasts-raja-jackson-for-brutal-attack-on-wrestler-during-event-in-los-angeles/articleshow/123643098.cms,,
Streaming platform Kick bans Raja Jackson after brutal 20-punch assault on Syko Stu. All about Quinton Rampage's son,"Raja Jackson, son of MMA legend Quinton “Rampage” Jackson, is facing severe backlash after a disturbing video surfaced showing him brutally attacking wrestler Syko Stu during a Knokx Pro Wrestling event. The incident, streamed live on Kick, led to Jackson's b…",2025-08-24T13:52:04Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/us-news-streaming-platform-kick-bans-raja-jackson-after-brutal-20-punch-assault-on-syko-stu-all-about-quinton-rampages-son/articleshow/123485011.cms,,
At least 60 people were killed in an overnight rebel attack in eastern Congo,"In eastern Congo, a brutal attack has claimed the lives of at least 60 individuals. The Allied Democratic Force, linked to the Islamic State, reportedly carried out the assault in Ntoyo, North Kivu. The victims were gathered for a burial when the rebels struc…",2025-09-09T09:43:07Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/at-least-60-people-were-killed-in-an-overnight-rebel-attack-in-eastern-congo/articleshow/123783582.cms,,
British PIO woman says 'raped' by two white men in West Midlands,"India News: LONDON: A British-born Sikh woman in her 20s was sexually assaulted, raped and beaten in a racially motivated attack on Tuesday in Oldbury, near Birmi.",2025-09-12T20:15:26Z,The Times of India,https://timesofindia.indiatimes.com/india/british-pio-woman-says-raped-by-two-white-men-in-west-midlands/articleshow/123859330.cms,,
Poland scrambles fighter jets after Russia launches massive aerial attack on Ukraine,"Poland and allied military aircraft were scrambled Saturday, September 20, after Russia launched a massive aerial assault on Ukraine near Poland's western border. The attack included 579 drones and missiles, killing eight people and injuring at least 32 over …",2025-09-20T20:49:16Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/poland-scrambles-fighter-jets-after-russia-launches-massive-aerial-attack-on-ukraine/articleshow/124021006.cms,,
Why did Minneapolis school shooter choose August 27 for the deadly attack? Disturbing manifesto reveals reason,"The Minneapolis school attacker chose August 27 to open fire outside of a church at a Catholic school killing two children, aged eight and ten, and injuring dozens. The shooter Robin Westman wanted to kill as many children possible, the disturbing manifesto u…",2025-08-29T16:07:06Z,The Times of India,https://economictimes.indiatimes.com/news/international/global-trends/us-news-why-did-minneapolis-school-shooter-choose-august-27-for-the-deadly-attack-disturbing-manifesto-reveals-reason/articleshow/123588174.cms,,
Qatar official says Netanyahu 'killed any hope' of hostage release with its strike in Doha on Hamas,"Qatar's prime minister has strongly criticized Israel's attack targeting Hamas leaders, asserting that it jeopardizes hostage release efforts. Sheikh Mohammed bin Abdulrahman Al Thani believes Netanyahu's actions have undermined any hope for the hostages' fre…",2025-09-11T06:27:07Z,The Times of India,https://economictimes.indiatimes.com/news/defence/qatar-official-says-netanyahu-killed-any-hope-of-hostage-release-with-its-strike-in-doha-on-hamas/articleshow/123823899.cms,,
"Israel will kill Hamas leaders next time if they survived Qatar attack, Israeli official says","An Israeli strike in Doha, targeting Hamas leaders, has sparked international concern and threatens to derail ceasefire negotiations in Gaza. Despite failing to eliminate its targets, Israel vows to persist, drawing condemnation from Qatar and China. Arab sta…",2025-09-10T10:57:36Z,The Times of India,https://economictimes.indiatimes.com/news/defence/israel-will-kill-hamas-leaders-next-time-if-they-survived-qatar-attack-israeli-official-says/articleshow/123807841.cms,,
Russian glide bomb attack in eastern Ukraine kills at least 24 people collecting their pensions,"A Russian glide bomb struck Yarova, a village in eastern Ukraine, killing at least 24 people and injuring 19 others. The attack occurred as residents lined up to collect their monthly pensions. Ukrainian President Volodymyr Zelenskyy condemned the ""brutal"" ac…",2025-09-09T15:57:08Z,The Times of India,https://economictimes.indiatimes.com/news/defence/russian-glide-bomb-attack-in-eastern-ukraine-kills-at-least-24-people-collecting-their-pensions/articleshow/123790253.cms,,
US and allies see yearslong hack as China's most ambitious yet,"A sweeping cyberattack, dubbed Salt Typhoon and attributed to China, has targeted over 80 countries, potentially compromising data from nearly every American. Officials describe the attack as a years-long, coordinated assault on telecommunications and other c…",2025-09-05T03:32:26Z,The Times of India,https://economictimes.indiatimes.com/news/international/world-news/us-and-allies-see-yearslong-hack-as-chinas-most-ambitious-yet/articleshow/123710683.cms,,
Charlie Kirk shooting: How culture-war opportunism turbocharged the attack on US higher education,"The killing of conservative activist Charlie Kirk has ignited a fierce debate that places American universities in the dock. While the accused had only brief ties to higher education, attention has shifted to faculty remarks, with over a dozen educators disci…",2025-09-17T11:23:21Z,The Times of India,https://timesofindia.indiatimes.com/education/news/charlie-kirk-shooting-culture-war-opportunism-attack-on-us-higher-ed/articleshow/123943913.cms,,
One-and-a-half-year-old boy killed in leopard attack in Maharashtra's Sinnar,"In a tragic incident, a one-and-a-half-year-old boy was killed by a leopard in Sinnar taluka, Nashik district, marking the second such fatality in a week. The attack occurred near Nimgaon-Deopur village as the boy was with his family at their farm.",2025-09-14T06:24:57Z,The Times of India,https://timesofindia.indiatimes.com/city/nashik/one-and-a-half-year-old-boy-killed-in-leopard-attack-in-maharashtras-sinnar/articleshow/123879301.cms,,
